ticker,type,shares,region,currency,sector,prev_close_local,today_close_local,pnl_local,prev_mv_local,today_mv_local,prev_mv_local_signed,today_mv_local_signed,pnl_report,today_mv_report,prev_mv_report,today_mv_report_signed,prev_mv_report_signed
9988.HK,long,109000,HK,HKD,Consumer Discretionary,154.89999389648438,156.0,119900.66528320312,16884099.334716797,17004000.0,16884099.334716797,17004000.0,22495643.479993213,3190273555.4494977,3167777911.9695044,3190273555.4494977,3167777911.9695044
GOOG,long,5000,US,USD,Communication Services,276.9800109863281,276.9800109863281,0.0,1384900.0549316406,1384900.0549316406,1384900.0549316406,1384900.0549316406,0.0,2019738273.9233413,2019738273.9233413,2019738273.9233413,2019738273.9233413
META,long,1700,US,USD,Communication Services,609.4600219726562,609.4600219726562,0.0,1036082.0373535156,1036082.0373535156,1036082.0373535156,1036082.0373535156,0.0,1511022068.571339,1511022068.571339,1511022068.571339,1511022068.571339
3690.HK,long,80000,HK,HKD,Consumer Discretionary,100.0,100.69999694824219,55999.755859375,8000000.0,8055999.755859375,8000000.0,8055999.755859375,10506618.456233364,1511458655.8354373,1500952037.3792038,1511458655.8354373,1500952037.3792038
6181.HK,long,12100,HK,HKD,Consumer Discretionary,663.5,663.0,-6050.0,8028350.0,8022300.0,8028350.0,8022300.0,-1135094.9782680229,1505135941.1833982,1506271036.1616664,1505135941.1833982,1506271036.1616664
LYB,long,23000,US,USD,Materials,45.29999923706055,45.29999923706055,0.0,1041899.9824523926,1041899.9824523926,1041899.9824523926,1041899.9824523926,0.0,1519506959.8455806,1519506959.8455806,1519506959.8455806,1519506959.8455806
NXE,long,100000,US,USD,Energy,8.170000076293945,8.170000076293945,0.0,817000.0076293945,817000.0076293945,817000.0076293945,817000.0076293945,0.0,1191512831.0729983,1191512831.0729983,1191512831.0729983,1191512831.0729983
9961.HK,long,12000,HK,HKD,Consumer Discretionary,576.0,550.5,-306000.0,6912000.0,6606000.0,6912000.0,6606000.0,-57411415.42975455,1239411144.8658776,1296822560.2956321,1239411144.8658776,1296822560.2956321
INTC,long,22000,US,USD,Information Technology,35.52000045776367,35.52000045776367,0.0,781440.0100708008,781440.0100708008,781440.0100708008,781440.0100708008,0.0,1139652129.765381,1139652129.765381,1139652129.765381,1139652129.765381
GLD,long,2100,US,USD,N/A,375.9599914550781,375.9599914550781,0.0,789515.9820556641,789515.9820556641,789515.9820556641,789515.9820556641,0.0,1151430127.505273,1151430127.505273,1151430127.505273,1151430127.505273
6762.T,long,50000,JP,JPY,Information Technology,2535.5,2511.5,-1200000.0,126775000.0,125575000.0,126775000.0,125575000.0,-11316757.220678097,1184251489.9888766,1195568247.2095547,1184251489.9888766,1195568247.2095547
BAGY,long,17000,US,USD,N/A,41.000999450683594,41.000999450683594,0.0,697016.9906616211,697016.9906616211,697016.9906616211,697016.9906616211,0.0,1016529596.1979246,1016529596.1979246,1016529596.1979246,1016529596.1979246
8031.T,long,30000,JP,JPY,Industrials,4103.0,4058.0,-1350000.0,123090000.0,121740000.0,123090000.0,121740000.0,-12731351.873262858,1148085020.037793,1160816371.9110558,1148085020.037793,1160816371.9110558
0522.HK,long,69000,HK,HKD,Information Technology,77.9000015258789,77.6500015258789,-17250.0,5375100.1052856445,5357850.1052856445,5375100.1052856445,5357850.1052856445,-3236427.8305989085,1005234503.9376088,1008470931.7682077,1005234503.9376088,1008470931.7682077
AR,long,20000,US,USD,Energy,34.36000061035156,34.36000061035156,0.0,687200.0122070312,687200.0122070312,687200.0122070312,687200.0122070312,0.0,1002212514.5800784,1002212514.5800784,1002212514.5800784,1002212514.5800784
UNH,long,2000,US,USD,Health Care,321.8599853515625,321.8599853515625,0.0,643719.970703125,643719.970703125,643719.970703125,643719.970703125,0.0,938801220.9892571,938801220.9892571,938801220.9892571,938801220.9892571
SNOW,long,2000,US,USD,Information Technology,257.0199890136719,257.0199890136719,0.0,514039.97802734375,514039.97802734375,514039.97802734375,514039.97802734375,0.0,749675916.5048823,749675916.5048823,749675916.5048823,749675916.5048823
MELI,long,240,US,USD,Consumer Discretionary,2048.889892578125,2048.889892578125,0.0,491733.57421875,491733.57421875,491733.57421875,491733.57421875,0.0,717144256.6458392,717144256.6458392,717144256.6458392,717144256.6458392
LLY,long,500,US,USD,Health Care,1025.280029296875,1025.280029296875,0.0,512640.0146484375,512640.0146484375,512640.0146484375,512640.0146484375,0.0,747634209.8789066,747634209.8789066,747634209.8789066,747634209.8789066
ONON,long,13000,US,USD,Consumer Discretionary,42.400001525878906,42.400001525878906,0.0,551200.0198364258,551200.0198364258,551200.0198364258,551200.0198364258,0.0,803870122.3864751,803870122.3864751,803870122.3864751,803870122.3864751
IBN,long,10000,US,USD,Financials,31.149999618530273,31.149999618530273,0.0,311499.99618530273,311499.99618530273,311499.99618530273,311499.99618530273,0.0,454291602.04162586,454291602.04162586,454291602.04162586,454291602.04162586
MTSR,long,1246,US,USD,Health Care,70.5,70.5,0.0,87843.0,87843.0,87843.0,87843.0,0.0,128110233.34460449,128110233.34460449,128110233.34460449,128110233.34460449
